game_id,game_date,away,home,final_away_total,final_home_total,target_team,target_side,confidence,profile_type,lean_summary,confidence_context,signal_away,signal_home,signal_gap,core_area_split,core_area_leader,core_gap,away_core_wins,home_core_wins,neutral_core_areas,team_comp_away_count,team_comp_home_count,team_comp_neutral_count,team_comp_decisive_count,team_comp_total_visible,edge_strength,edge_score,signal_alignment_code,signal_alignment_label,model_result,predicted_team,actual_winner,learning_label,ranking_available,ranking_as_of_date,ranking_window_type,ranking_max_data_lag_days,ranking_away_metric_count,ranking_home_metric_count,ranking_source_data_dates,core_area_leaders_json
20250904_DAL@PHI,2025-09-04,DAL,PHI,20,24,None,,Low,no_clear_edge,No strong directional edge,Signals are not separated enough to support a clear lean,0,0,0,,neutral,,0,0,0,0,0,0,0,0,none,0,not_applicable,No pick — signals were mixed and did not support a confident prediction,No Pick,None,PHI,Neutral — model avoided low-confidence scenario,False,,regular_season_to_date,,,,,{}
20250907_BAL@BUF,2025-09-07,BAL,BUF,40,41,None,,Low,no_clear_edge,No strong directional edge,Signals are not separated enough to support a clear lean,0,0,0,,neutral,,0,0,0,0,0,0,0,0,none,0,not_applicable,No pick — signals were mixed and did not support a confident prediction,No Pick,None,BUF,Neutral — model avoided low-confidence scenario,False,,regular_season_to_date,,,,,{}
20250907_DET@GB,2025-09-07,DET,GB,13,27,None,,Low,no_clear_edge,No strong directional edge,Signals are not separated enough to support a clear lean,0,0,0,,neutral,,0,0,0,0,0,0,0,0,none,0,not_applicable,No pick — signals were mixed and did not support a confident prediction,No Pick,None,GB,Neutral — model avoided low-confidence scenario,False,,regular_season_to_date,,,,,{}
20250907_MIA@IND,2025-09-07,MIA,IND,8,33,None,,Low,no_clear_edge,No strong directional edge,Signals are not separated enough to support a clear lean,0,0,0,,neutral,,0,0,0,0,0,0,0,0,none,0,not_applicable,No pick — signals were mixed and did not support a confident prediction,No Pick,None,IND,Neutral — model avoided low-confidence scenario,False,,regular_season_to_date,,,,,{}
20250914_BUF@NYJ,2025-09-14,BUF,NYJ,30,10,None,,Low,no_clear_edge,No strong directional edge,Signals are not separated enough to support a clear lean,4,5,1,3-1,neutral,0.009,3,1,0,2,3,0,5,5,low,0.2,not_applicable,No pick — signals were mixed and did not support a confident prediction,No Pick,None,BUF,Neutral — model avoided low-confidence scenario,True,2025-09-11,regular_season_to_date,4,52,52,2025-09-07,"{""Defensive Control"": ""home"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""away"", ""Scoring Efficiency"": ""away""}"
20250914_CAR@ARI,2025-09-14,CAR,ARI,22,27,ARI edge,home,Low,confirmed_edge,ARI holds the broader matchup edge,Core Areas support the same side as the signal lean,1,10,9,0-4,home,0.484,0,4,0,1,4,0,5,5,strong,0.6,strong,All signals agreed,Correct,ARI,ARI,Model aligned with outcome,True,2025-09-11,regular_season_to_date,4,52,51,2025-09-07,"{""Defensive Control"": ""home"", ""Disruption and Turnovers"": ""home"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""home""}"
20250914_CHI@DET,2025-09-14,CHI,DET,21,52,CHI edge,away,Low,confirmed_edge,CHI holds the broader matchup edge,Core Areas support the same side as the signal lean,9,1,8,3-1,away,0.335,3,1,0,4,1,0,5,5,strong,0.6,strong,All signals agreed,Incorrect,CHI,DET,Model miss — learning opportunity logged,True,2025-09-11,regular_season_to_date,4,52,52,"2025-09-07,2025-09-08","{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""away"", ""Scoring Efficiency"": ""home""}"
20250914_CLE@BAL,2025-09-14,CLE,BAL,17,41,BAL edge,home,Low,conflicting_profile,"BAL has signal support, but Core Areas do not fully confirm the edge",Core Area context conflicts with the signal lean,3,7,4,3-1,away,0.16,3,1,0,3,2,0,5,5,low,0.2,strong,All signals agreed,Correct,BAL,BAL,Model aligned with outcome,True,2025-09-11,regular_season_to_date,4,52,51,2025-09-07,"{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""away""}"
20250914_LAR@TEN,2025-09-14,LAR,TEN,33,19,None,,Low,no_clear_edge,No strong directional edge,Signals are not separated enough to support a clear lean,4,4,0,3-0,away,0.421,3,0,1,4,1,0,5,5,strong,0.6,not_applicable,No pick — signals were mixed and did not support a confident prediction,No Pick,None,LAR,Neutral — model avoided low-confidence scenario,True,2025-09-11,regular_season_to_date,4,52,50,2025-09-07,"{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""neutral"", ""Offensive Output"": ""away"", ""Scoring Efficiency"": ""away""}"
20250914_PHI@KC,2025-09-14,PHI,KC,20,17,PHI edge,away,Low,confirmed_edge,PHI holds the broader matchup edge,Core Areas support the same side as the signal lean,7,2,5,4-0,away,0.444,4,0,1,5,0,0,5,5,strong,1.0,mixed,Mixed signals — not all signals agreed,Correct,PHI,PHI,Model aligned with outcome,True,2025-09-11,regular_season_to_date,7,54,52,"2025-09-04,2025-09-05","{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""away"", ""Field Control (Special Teams)"": ""away"", ""Offensive Output"": ""neutral"", ""Scoring Efficiency"": ""away""}"
